Cidade,Codigo
Abaiara,2300101
Acarape,2300150
Acaraú,2300200
Acopiara,2300309
Aiuaba,2300408
Alcântaras,2300507
Altaneira,2300606
Alto Santo,2300705
Amontada,2300754
Antonina do Norte,2300804
Apuiarés,2300903
Aquiraz,2301000
Aracati,2301109
Aracoiaba,2301208
Ararendá,2301257
Araripe,2301307
Aratuba,2301406
Arneiroz,2301505
Assaré,2301604
Aurora,2301703
Baixio,2301802
Banabuiú,2301851
Barbalha,2301901
Barreira,2301950
Barro,2302008
Barroquinha,2302057
Baturité,2302107
Beberibe,2302206
Bela Cruz,2302305
Boa Viagem,2302404
Brejo Santo,2302503
Camocim,2302602
Campos Sales,2302701
Canindé,2302800
Capistrano,2302909
Caridade,2303006
Cariré,2303105
Caririaçu,2303204
Cariús,2303303
Carnaubal,2303402
Cascavel,2303501
Catarina,2303600
Catunda,2303659
Caucaia,2303709
Cedro,2303808
Chaval,2303907
Choró,2303931
Chorozinho,2303956
Coreaú,2304004
Crateús,2304103
Crato,2304202
Croatá,2304236
Cruz,2304251
Deputado Irapuan Pinheiro,2304269
Ererê,2304277
Eusébio,2304285
Farias Brito,2304301
Forquilha,2304350
Fortaleza,2304400
Fortim,2304459
Frecheirinha,2304509
General Sampaio,2304608
Graça,2304657
Granja,2304707
Granjeiro,2304806
Groaíras,2304905
Guaiúba,2304954
Guaraciaba do Norte,2305001
Guaramiranga,2305100
Hidrolândia,2305209
Horizonte,2305233
Ibaretama,2305266
Ibiapina,2305308
Ibicuitinga,2305332
Icapuí,2305357
Icó,2305407
Iguatu,2305506
Independência,2305605
Ipaporanga,2305654
Ipaumirim,2305704
Ipu,2305803
Ipueiras,2305902
Iracema,2306009
Irauçuba,2306108
Itaiçaba,2306207
Itaitinga,2306256
Itapajé,2306306
Itapipoca,2306405
Itapiúna,2306504
Itarema,2306553
Itatira,2306603
Jaguaretama,2306702
Jaguaribara,2306801
Jaguaribe,2306900
Jaguaruana,2307007
Jardim,2307106
Jati,2307205
Jijoca de Jericoacoara,2307254
Juazeiro do Norte,2307304
Jucás,2307403
Lavras da Mangabeira,2307502
Limoeiro do Norte,2307601
Madalena,2307635
Maracanaú,2307650
Maranguape,2307700
Marco,2307809
Martinópole,2307908
Massapê,2308005
Mauriti,2308104
Meruoca,2308203
Milagres,2308302
Milhã,2308351
Miraíma,2308377
Missão Velha,2308401
Mombaça,2308500
Monsenhor Tabosa,2308609
Morada Nova,2308708
Moraújo,2308807
Morrinhos,2308906
Mucambo,2309003
Mulungu,2309102
Nova Olinda,2309201
Nova Russas,2309300
Novo Oriente,2309409
Ocara,2309458
Orós,2309508
Pacajus,2309607
Pacatuba,2309706
Pacoti,2309805
Pacujá,2309904
Palhano,2310001
Palmácia,2310100
Paracuru,2310209
Paraipaba,2310258
Parambu,2310308
Paramoti,2310407
Pedra Branca,2310506
Penaforte,2310605
Pentecoste,2310704
Pereiro,2310803
Pindoretama,2310852
Piquet Carneiro,2310902
Pires Ferreira,2310951
Poranga,2311009
Porteiras,2311108
Potengi,2311207
Potiretama,2311231
Quiterianópolis,2311264
Quixadá,2311306
Quixelô,2311355
Quixeramobim,2311405
Quixeré,2311504
Redenção,2311603
Reriutaba,2311702
Russas,2311801
Saboeiro,2311900
Salitre,2311959
Santa Quitéria,2312205
Santana do Acaraú,2312007
Santana do Cariri,2312106
São Benedito,2312304
São Gonçalo do Amarante,2312403
São João do Jaguaribe,2312502
São Luís do Curu,2312601
Senador Pompeu,2312700
Senador Sá,2312809
Sobral,2312908
Solonópole,2313005
Tabuleiro do Norte,2313104
Tamboril,2313203
Tarrafas,2313252
Tauá,2313302
Tejuçuoca,2313351
Tianguá,2313401
Trairi,2313500
Tururu,2313559
Ubajara,2313609
Umari,2313708
Umirim,2313757
Uruburetama,2313807
Uruoca,2313906
Varjota,2313955
Várzea Alegre,2314003
Viçosa do Ceará,2314102
